split,seed,model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
6,48,Ordinary least squares,5.571927917426642,3.626444546565107,0.6790391599171763,0.9509803921568627,17.83086770497602,3.1840225062374694,2.7182613807172995,36.36392508369418
6,48,RidgeCV,5.615100967447201,3.633146494913997,0.6740460795118619,0.9509803921568627,17.846068381747777,3.195248288964415,2.727075061943517,36.80011095044363
6,48,BayesianRidge,5.61817768541315,3.6337263981221337,0.6736887776421184,0.9509803921568627,18.072164258215153,3.1796299598243247,2.7269779179072247,36.730073059266616
6,48,ARDRegression,5.580608146117375,3.6152145951656345,0.678038363198423,0.9509803921568627,17.990954061981355,3.173685798186842,2.7240561788931497,36.33187959558031
6,48,Bayesian Gibbs,5.588401794613401,3.626778620811033,0.6771384584129279,0.9509803921568627,18.13468243734808,3.155718751681714,2.722742393410936,36.18246910013075
7,49,Ordinary least squares,5.1329171636704505,3.643748774345811,0.7293726757986061,0.9509803921568627,18.323175223299803,3.0639429354180834,2.7145289117043183,29.211966280204688
7,49,RidgeCV,5.131088813835304,3.631988917916404,0.7295654368673914,0.9509803921568627,18.33138035036828,3.063421976378245,2.7073188387585825,29.331141681513458
7,49,BayesianRidge,5.131436739169462,3.6271849286649003,0.7295287607430092,0.9509803921568627,18.59846084065816,3.057474259727063,2.703132973716437,29.244987991776163
7,49,ARDRegression,5.141290149421821,3.6502747188864246,0.7284890430373897,0.9509803921568627,18.517029833536288,3.0619874825096556,2.7105898173115714,29.240521122784756
7,49,Bayesian Gibbs,5.130505450942777,3.63572195162716,0.7296269257741772,0.9509803921568627,18.74351283397046,3.0524214240940855,2.7176852974557835,29.620924722313738
8,50,Ordinary least squares,5.130005031834264,3.399718775284835,0.6577575413237118,0.9607843137254902,18.44191360872008,3.0619884149560868,2.58309589887092,32.19676592190819
8,50,RidgeCV,5.122953289049056,3.355314152075637,0.6586977926611237,0.9607843137254902,18.45529300729114,3.0602210666704783,2.5646404070664146,32.5051535196338
8,50,BayesianRidge,5.122388328529636,3.347066199643152,0.6587730662891328,0.9607843137254902,18.70369486797061,3.044105305837149,2.5609789355545582,32.2398881035096
8,50,ARDRegression,5.230181142509859,3.3888380435000163,0.6442607656047825,0.9607843137254902,18.586030928727613,3.076646874161462,2.593191161603233,33.437650686609075
8,50,Bayesian Gibbs,5.12692853536792,3.37784712410312,0.6581679081715064,0.9607843137254902,18.7702776823557,3.0382327554835444,2.577239788559782,32.13207302850941
9,51,Ordinary least squares,4.921464513052572,3.3605127249944706,0.7497608087365885,0.9509803921568627,18.54758028917872,3.0141337282420055,2.6185380626342316,29.96974182799711
9,51,RidgeCV,4.9622938456206676,3.344605582896316,0.7455915292233255,0.9509803921568627,18.567681326614938,3.023039343505177,2.632272219753295,30.277544505939996
9,51,BayesianRidge,4.958505517092367,3.3447172634145077,0.7459798234319004,0.9509803921568627,18.85044462688448,3.007832156507543,2.6261821108968286,29.862501608124983
9,51,ARDRegression,5.022629841572603,3.3881105207296116,0.7393672674722513,0.9509803921568627,18.743494120416685,3.022140009488023,2.6631077819081512,30.025188169309065
9,51,Bayesian Gibbs,4.936022238234515,3.3545652734850635,0.748278200765875,0.9509803921568627,18.906820455772166,3.001124644979699,2.618754674222786,29.362939717789175
10,52,Ordinary least squares,4.8077295028174785,3.176149860762134,0.7575583423338026,0.9705882352941176,18.729698435923677,2.9892019163309045,2.434013963406612,29.61796162319549
10,52,RidgeCV,4.823426911687227,3.1588460633279793,0.7559725964185767,0.9705882352941176,18.747374564734386,2.992495919567059,2.431325732384589,29.824657776999313
10,52,BayesianRidge,4.824512313385434,3.157966373873344,0.7558627585110821,0.9705882352941176,19.070308058216778,2.9820803343944755,2.4296885020567243,29.889384701742987
10,52,ARDRegression,4.9736120629815455,3.212314150851702,0.7405396436530879,0.9705882352941176,18.91451646067823,3.016597105257309,2.4851428128537543,30.557067796339673
10,52,Bayesian Gibbs,4.8124769150665525,3.16883263609543,0.7570793059155152,0.9705882352941176,19.095310137806727,2.975813812205362,2.4280874313855483,29.823725831462
11,53,Ordinary least squares,6.3202540222166474,3.9207644026285458,0.5988394328030626,0.8921568627450981,16.946766043249255,3.451558042490517,3.0814985705322475,48.91881242616872
11,53,RidgeCV,6.3381704904055916,3.9139241083811447,0.596561813010607,0.8921568627450981,16.961285784313425,3.4566424275728354,3.0787611631390406,48.99013578222539
11,53,BayesianRidge,6.3372411913856554,3.9143009788189294,0.5966801081014217,0.9019607843137255,17.253639698997244,3.4090925646241463,3.074192481855704,48.13209339141651
11,53,ARDRegression,6.373872123712827,3.928611391450088,0.5920040410280986,0.9019607843137255,17.1446152718989,3.430172464267474,3.093095873363545,48.81318524767119
11,53,Bayesian Gibbs,6.326327910584969,3.91901195334688,0.5980680159243191,0.9019607843137255,17.315830239073957,3.384614383266733,3.079792478788361,48.35336755446139
12,54,Ordinary least squares,4.923969711782127,3.4235789334495563,0.6467961736061812,0.9313725490196079,18.65650195695875,3.0142357957072994,2.6023916847211304,31.609827272659004
12,54,RidgeCV,4.911135253829958,3.391926706455407,0.6486350442722291,0.9411764705882353,18.683123556029333,3.0113593248927986,2.5828141712602273,31.939397280448492
12,54,BayesianRidge,4.9123944462337175,3.394789483425607,0.6484548444692857,0.9411764705882353,19.043633959293178,2.998249135055696,2.584071982994494,31.3321442293436
12,54,ARDRegression,4.933272339594945,3.4213073452972753,0.645460329677678,0.9411764705882353,18.9349020015865,3.0011220508958574,2.593744195460451,31.24835813026922
12,54,Bayesian Gibbs,4.919562446633185,3.4124081693639714,0.6474281702875591,0.9411764705882353,19.12113502973511,2.9979879344682114,2.5913278972548426,30.575179884622123
13,55,Ordinary least squares,4.2412444745092515,2.9949972172822616,0.7497734891294883,0.9509803921568627,19.170807382740723,2.8822921443472485,2.315133571003996,24.775093101181323
13,55,RidgeCV,4.2186152200330485,2.9519363176064006,0.7524365439895884,0.9509803921568627,19.18338221765719,2.8784582657935855,2.2991423926567416,24.722286060026654
